identifier1	identifier2	annotator	judgment	comment	lemma	round
bib11653828_18210717_144028_164_0001_alto.xml-7-47	bib11653790_19010308_145648_19_0003_alto.xml-60-24	annotator2	3.0	 	uppfattning	3
bib19225792_18130619_147359_25_0001_alto.xml-0-6	bib11653830_18960507_146968_37_0003_alto.xml-71-5	annotator2	1.0	 	uppfattning	3
bib11653815_18970908_146944_103_0003_alto.xml-124-11	bib15873371_18951106_145112_303_0003_alto.xml-188-60	annotator2	4.0	 	uppfattning	3
bib15873371_18951106_145112_303_0003_alto.xml-188-60	bib11653828_18140419_144028_88_0004_alto.xml-1-6	annotator2	0.0	 	uppfattning	3
bib19225758_18950916_144022_215_0005_alto.xml-71-27	bib19277277_18290522_147682_117_0001_alto.xml-10-53	annotator2	1.0	 	uppfattning	3
bib19227306_18280722_147700_30_0003_alto.xml-24-19	bib19227306_18280729_147700_31_0003_alto.xml-17-21	annotator2	4.0	 	uppfattning	3
bib19227462_18950130_147640_25_0003_alto.xml-1-26	bib11653828_18301222_144028_297_0002_alto.xml-11-5	annotator2	4.0	 	uppfattning	3
bib11653830_18960507_146968_37_0003_alto.xml-71-5	bib15650837_18050810_146391_64_0003_alto.xml-7-10	annotator2	1.0	 	uppfattning	3
bib11653830_18960507_146968_37_0003_alto.xml-71-5	bib11653828_18140423_144028_92_0004_alto.xml-4-22	annotator2	4.0	 	uppfattning	3
bib11653828_18301222_144028_297_0002_alto.xml-11-5	bib19225772_18200107_148004_3_0002_alto.xml-2-36	annotator2	4.0	 	uppfattning	3
bib11653828_18220612_144028_134_0004_alto.xml-7-48	bib19277180_18950225_147374_17_0004_alto.xml-75-20	annotator2	2.0	 	uppfattning	3
bib11653830_18970308_146968_19_0003_alto.xml-22-14	bib11653828_18180410_144028_81_0003_alto.xml-5-11	annotator2	4.0	 	uppfattning	3
bib11653823_18230321_144010_67_0003_alto.xml-2-56	bib11653806_18140223_145120_29_0003_alto.xml-3-24	annotator3	4.0	 	uppfattning	3
bib19227306_18291209_147700_49_0002_alto.xml-16-124	bib19227462_18950212_147640_36_0003_alto.xml-50-68	annotator3	3.0	 	uppfattning	3
bib15650837_18050810_146391_64_0003_alto.xml-7-10	bib19225792_18130619_147359_25_0001_alto.xml-0-6	annotator3	3.0	 	uppfattning	3
bib19277349_18950406_147403_45_0003_alto.xml-163-14	bib11653815_18970908_146944_103_0003_alto.xml-124-11	annotator3	4.0	 	uppfattning	3
bib15650835_18960512_146472_72_0002_alto.xml-13-17	bib19227306_18280729_147700_31_0003_alto.xml-17-21	annotator3	4.0	 	uppfattning	3
bib19277277_18950224_147683_54_0006_alto.xml-117-29	bib11653823_18230321_144010_67_0003_alto.xml-2-56	annotator3	3.0	 	uppfattning	3
bib11653828_18240420_144028_90_0002_alto.xml-2-64	bib19225772_18301026_148004_122_0002_alto.xml-4-10	annotator3	3.0	 	uppfattning	3
bib11653828_18251205_144028_282_0003_alto.xml-15-47	bib15978012_18950607_148361_130_0002_alto.xml-7-4	annotator3	3.0	 	uppfattning	3
bib15650837_18950220_146391_43_0002_alto.xml-3-34	bib11653828_18251205_144028_282_0003_alto.xml-15-47	annotator3	4.0	 	uppfattning	3
bib19225792_18130619_147359_25_0001_alto.xml-0-6	bib11653830_18960507_146968_37_0003_alto.xml-71-5	annotator3	2.0	 	uppfattning	3
bib11653828_18210717_144028_164_0001_alto.xml-7-47	bib11653790_19010308_145648_19_0003_alto.xml-60-24	annotator3	4.0	 	uppfattning	3
bib11653830_18970308_146968_19_0003_alto.xml-22-14	bib11653828_18180410_144028_81_0003_alto.xml-5-11	annotator3	3.0	 	uppfattning	3
bib11653815_18970908_146944_103_0003_alto.xml-124-11	bib15873371_18951106_145112_303_0003_alto.xml-188-60	annotator3	4.0	 	uppfattning	3
bib15650814_18950220_146365_44_0002_alto.xml-135-4	bib11653828_18210724_144028_170_0001_alto.xml-4-5	annotator4	4.0	 	uppfattning	3
bib19277277_18300121_147682_16_0001_alto.xml-15-3	bib11653815_18970908_146944_103_0003_alto.xml-124-11	annotator4	3.0	 	uppfattning	3
bib11653828_18240913_144028_212_0004_alto.xml-5-5	bib15650837_18950731_146391_175_0003_alto.xml-97-7	annotator4	2.0	 	uppfattning	3
bib15650837_18050810_146391_64_0003_alto.xml-7-10	bib19225792_18130619_147359_25_0001_alto.xml-0-6	annotator4	4.0	 	uppfattning	3
bib11653830_18970308_146968_19_0003_alto.xml-22-14	bib11653828_18180410_144028_81_0003_alto.xml-5-11	annotator4	3.0	 	uppfattning	3
bib19225792_18130619_147359_25_0001_alto.xml-0-6	bib11653830_18960507_146968_37_0003_alto.xml-71-5	annotator4	1.0	 	uppfattning	3
bib11653828_18151208_144028_286_0001_alto.xml-7-50	bib19277277_18950224_147683_54_0006_alto.xml-117-29	annotator4	3.0	 	uppfattning	3
bib11653828_18151208_144028_286_0001_alto.xml-7-50	bib15650837_18050810_146391_64_0003_alto.xml-7-10	annotator4	1.0	 	uppfattning	3
bib19227291_18960416_145289_46_0003_alto.xml-14-48	bib19227291_18960702_145289_79_0002_alto.xml-125-13	annotator4	4.0	 	uppfattning	3
bib19277277_18950703_147683_177_0005_alto.xml-82-35	bib11653828_18251224_144028_299_0004_alto.xml-5-35	annotator4	4.0	 	uppfattning	3
bib11653811_18970814_145317_124_0004_alto.xml-58-4	bib15975087_18950724_145596_112_0002_alto.xml-111-23	annotator4	4.0	 	uppfattning	3
bib11653823_18230321_144010_67_0003_alto.xml-2-56	bib11653830_18960507_146968_37_0003_alto.xml-71-5	annotator4	4.0	 	uppfattning	3
bib19225772_18200107_148004_3_0002_alto.xml-2-36	bib11653838_19020228_147024_9_0001_alto.xml-45-41	annotator4	4.0	 	uppfattning	3
bib11653828_18250107_144028_4_0001_alto.xml-2-19	bib11653830_18980418_146968_30_0001_alto.xml-44-7	annotator4	2.0	 	uppfattning	3
bib19277277_18950512_147683_128_0005_alto.xml-104-13	bib19227306_18280722_147700_30_0003_alto.xml-24-19	annotator4	4.0	 	uppfattning	3
bib11653828_18301210_144028_287_0003_alto.xml-1-71	bib15760600_18950810_146401_94_0002_alto.xml-74-0	annotator4	4.0	 	uppfattning	3
bib11653830_18960507_146968_37_0003_alto.xml-71-5	bib11653828_18140423_144028_92_0004_alto.xml-4-22	annotator4	1.0	 	uppfattning	3
bib19277349_18950406_147403_45_0003_alto.xml-163-14	bib11653815_18970908_146944_103_0003_alto.xml-124-11	annotator0	3.0	 	uppfattning	3
bib11653828_18301210_144028_287_0003_alto.xml-1-71	bib15760600_18950810_146401_94_0002_alto.xml-74-0	annotator0	3.0	 	uppfattning	3
bib11653828_18251205_144028_282_0003_alto.xml-15-47	bib15978012_18950607_148361_130_0002_alto.xml-7-4	annotator0	3.0	 	uppfattning	3
bib11653828_18210717_144028_164_0001_alto.xml-7-47	bib15873371_18950913_145112_249_0002_alto.xml-98-9	annotator0	4.0	 	uppfattning	3
bib11653828_18240913_144028_212_0004_alto.xml-5-5	bib15650837_18950731_146391_175_0003_alto.xml-97-7	annotator0	3.0	 	uppfattning	3
bib13506739_18200117_144030_12_0002_alto.xml-5-23	bib11653815_18970908_146944_103_0003_alto.xml-124-11	annotator0	0.0	OCR-error (sent 1 is probably “uppsättning”)	uppfattning	3
bib11653828_18140423_144028_92_0004_alto.xml-4-22	bib11653828_18151208_144028_286_0001_alto.xml-7-50	annotator0	4.0	 	uppfattning	3
bib19225758_18950510_144022_108_0002_alto.xml-58-41	bib11653828_18301110_144028_261_0003_alto.xml-10-2	annotator0	4.0	 	uppfattning	3
bib19277277_18300121_147682_16_0001_alto.xml-15-3	bib11653828_18180410_144028_81_0003_alto.xml-5-11	annotator0	4.0	 	uppfattning	3
bib15869824_18950323_145700_24_0003_alto.xml-107-0	bib11653828_18301007_144028_232_0003_alto.xml-6-26	annotator0	4.0	 	uppfattning	3
bib11653828_18151208_144028_286_0001_alto.xml-7-50	bib19277277_18950224_147683_54_0006_alto.xml-117-29	annotator0	3.0	 	uppfattning	3
bib19227306_18280722_147700_30_0003_alto.xml-24-19	bib19227306_18280729_147700_31_0003_alto.xml-17-21	annotator0	4.0	 	uppfattning	3
bib19225792_18170301_147359_9_0007_alto.xml-2-23	bib15873371_18951026_145112_293_0004_alto.xml-40-6	annotator0	0.0	OCR-error (sent 1 is probably “uppsättning”)	uppfattning	3
bib11653830_18960507_146968_37_0003_alto.xml-71-5	bib11653828_18151208_144028_286_0001_alto.xml-7-50	annotator0	3.0	 	uppfattning	3
bib11653790_18990310_145648_19_0003_alto.xml-87-4	bib19227291_18960324_145289_36_0002_alto.xml-7-19	annotator2	4.0	 	uppfattning	2
bib11653828_18141025_144028_247_0004_alto.xml-1-6	bib19225758_18950923_144022_221_0003_alto.xml-6-6	annotator2	4.0	 	uppfattning	2
bib19277277_18950722_147683_196_0008_alto.xml-41-20	bib19277277_18291016_147682_240_0001_alto.xml-3-0	annotator2	0.0	 	uppfattning	2
bib15873936_18950601_147385_65_0002_alto.xml-65-48	bib11653828_18240420_144028_90_0002_alto.xml-2-64	annotator2	4.0	 	uppfattning	2
bib11653825_18130215_145134_20_0004_alto.xml-4-20	bib13506739_18291118_144030_268_0006_alto.xml-50-35	annotator2	0.0	 	uppfattning	2
bib19227291_18221127_145289_48_0003_alto.xml-6-103	bib11653838_19020228_147024_9_0001_alto.xml-45-41	annotator2	4.0	 	uppfattning	2
bib15650814_18950618_146365_140_0003_alto.xml-133-31	bib11653811_18991030_145317_167_0003_alto.xml-37-9	annotator2	4.0	 	uppfattning	2
bib19225758_18950622_144022_143_0006_alto.xml-53-22	bib11653838_19000803_147024_31_0003_alto.xml-88-29	annotator2	4.0	 	uppfattning	2
bib15873371_18951002_145112_268_0003_alto.xml-74-45	bib11653828_18301210_144028_287_0003_alto.xml-1-71	annotator2	4.0	 	uppfattning	2
bib19225758_18950220_144022_43_0002_alto.xml-71-2	bib19277277_18291016_147682_240_0001_alto.xml-3-0	annotator2	4.0	 	uppfattning	2
bib15978012_18950923_148361_221_0002_alto.xml-40-14	bib19227291_18960324_145289_36_0002_alto.xml-7-19	annotator2	4.0	 	uppfattning	2
bib19277277_18950224_147683_54_0006_alto.xml-117-29	bib11653828_18180410_144028_81_0003_alto.xml-5-11	annotator2	2.0	 	uppfattning	2
bib15760690_18950508_145050_70_0003_alto.xml-160-2	bib15873936_18950328_147385_38_0002_alto.xml-95-13	annotator2	4.0	 	uppfattning	2
bib19227462_18951007_147640_233_0005_alto.xml-61-4	bib11653828_18301210_144028_287_0003_alto.xml-1-71	annotator2	2.0	 	uppfattning	2
bib13506739_18250311_144030_58_0002_alto.xml-19-0	bib11653811_18991030_145317_167_0003_alto.xml-37-9	annotator2	1.0	 	uppfattning	2
bib11653828_18300421_144028_90_0003_alto.xml-14-17	bib19277277_18291016_147682_240_0001_alto.xml-3-0	annotator2	4.0	 	uppfattning	2
bib15650814_18950530_146365_125_0003_alto.xml-85-42	bib15873936_18950328_147385_38_0002_alto.xml-95-13	annotator2	4.0	 	uppfattning	2
bib19277349_18951022_147403_134_0002_alto.xml-131-9	bib15650814_18950220_146365_44_0002_alto.xml-135-4	annotator2	4.0	 	uppfattning	2
bib11653828_18230604_144028_126_0003_alto.xml-5-6	bib19225772_18200107_148004_3_0002_alto.xml-2-36	annotator2	3.0	 	uppfattning	2
bib19277277_18950214_147683_44_0005_alto.xml-232-7	bib11653828_18180410_144028_81_0003_alto.xml-5-11	annotator2	4.0	 	uppfattning	2
bib19277330_18950209_0_17_0003_alto.xml-46-23	bib19225758_18950923_144022_221_0003_alto.xml-6-6	annotator2	4.0	 	uppfattning	2
bib11653828_18140423_144028_92_0004_alto.xml-4-22	bib15650814_18950220_146365_44_0002_alto.xml-135-4	annotator2	1.0	 	uppfattning	2
bib11653828_18240913_144028_212_0004_alto.xml-5-5	bib15650837_18950731_146391_175_0003_alto.xml-97-7	annotator2	2.0	 	uppfattning	2
bib15760600_18950810_146401_94_0002_alto.xml-74-0	bib11653828_18301210_144028_287_0003_alto.xml-1-71	annotator2	1.0	 	uppfattning	2
bib19225772_18200107_148004_3_0002_alto.xml-2-36	bib11653838_19020228_147024_9_0001_alto.xml-45-41	annotator2	2.0	 	uppfattning	2
bib15650814_18950715_146365_162_0002_alto.xml-16-25	bib15873936_18950328_147385_38_0002_alto.xml-95-13	annotator2	4.0	 	uppfattning	2
bib15760600_18951015_146401_122_0002_alto.xml-27-9	bib11653828_18180410_144028_81_0003_alto.xml-5-11	annotator2	4.0	 	uppfattning	2
bib11653828_18210724_144028_170_0001_alto.xml-4-5	bib15650814_18950220_146365_44_0002_alto.xml-135-4	annotator2	2.0	 	uppfattning	2
bib11653828_18240520_144028_116_0003_alto.xml-11-24	bib15650814_18950220_146365_44_0002_alto.xml-135-4	annotator2	4.0	 	uppfattning	2
bib11653830_18960507_146968_37_0003_alto.xml-71-5	bib11653838_19020228_147024_9_0001_alto.xml-45-41	annotator2	2.0	 	uppfattning	2
bib11653828_18250107_144028_4_0001_alto.xml-2-19	bib15873371_18950913_145112_249_0002_alto.xml-98-9	annotator2	4.0	 	uppfattning	2
bib11653828_18151208_144028_286_0001_alto.xml-7-50	bib11653828_18240420_144028_90_0002_alto.xml-2-64	annotator2	2.0	 	uppfattning	2
bib11653828_18230408_144028_79_0002_alto.xml-9-40	bib11653838_19000803_147024_31_0003_alto.xml-88-29	annotator2	3.0	 	uppfattning	2
bib19277277_18300121_147682_16_0001_alto.xml-15-3	bib11653828_18180410_144028_81_0003_alto.xml-5-11	annotator2	1.0	 	uppfattning	2
bib13506739_18260614_144030_124_0008_alto.xml-14-8	bib11653811_18991030_145317_167_0003_alto.xml-37-9	annotator2	4.0	 	uppfattning	2
bib11653828_18140420_144028_89_0002_alto.xml-0-6	bib15873936_18950328_147385_38_0002_alto.xml-95-13	annotator2	3.0	 	uppfattning	2
bib15873936_18950601_147385_65_0002_alto.xml-65-48	bib11653823_18230321_144010_67_0003_alto.xml-2-56	annotator2	1.0	 	uppfattning	2
bib19227462_18950212_147640_36_0003_alto.xml-50-68	bib11653838_19020228_147024_9_0001_alto.xml-45-41	annotator2	3.0	 	uppfattning	2
bib11653815_18970315_146944_30_0004_alto.xml-51-19	bib19225772_18200107_148004_3_0002_alto.xml-2-36	annotator2	4.0	 	uppfattning	2
bib19223423_18201209_145063_98_0002_alto.xml-4-19	bib19225758_18950923_144022_221_0003_alto.xml-6-6	annotator2	4.0	 	uppfattning	2
bib11653830_18950823_146968_96_0003_alto.xml-119-6	bib15873371_18950913_145112_249_0002_alto.xml-98-9	annotator2	4.0	 	uppfattning	2
bib19225758_18951004_144022_231_0002_alto.xml-49-64	bib15869824_18950323_145700_24_0003_alto.xml-107-0	annotator2	4.0	 	uppfattning	2
bib15760690_18950930_145050_150_0003_alto.xml-67-8	bib11653838_19000803_147024_31_0003_alto.xml-88-29	annotator2	4.0	 	uppfattning	2
bib11653828_18301110_144028_261_0003_alto.xml-10-2	bib15873936_18950328_147385_38_0002_alto.xml-95-13	annotator2	4.0	 	uppfattning	2
bib19227291_18290128_145289_5_0006_alto.xml-6-37	bib11653838_19000803_147024_31_0003_alto.xml-88-29	annotator2	4.0	 	uppfattning	2
bib11653828_18281205_144028_280_0004_alto.xml-3-25	bib19227291_18960324_145289_36_0002_alto.xml-7-19	annotator2	4.0	 	uppfattning	2
bib11653828_18230403_144028_75_0002_alto.xml-4-60	bib11653838_19000803_147024_31_0003_alto.xml-88-29	annotator2	4.0	 	uppfattning	2
bib11653828_18271217_144028_295_0003_alto.xml-20-6	bib13506739_18291118_144030_268_0006_alto.xml-50-35	annotator2	4.0	 	uppfattning	2
bib11653828_18220315_144028_63_0004_alto.xml-5-47	bib19225772_18200107_148004_3_0002_alto.xml-2-36	annotator2	4.0	 	uppfattning	2
bib19227306_18280722_147700_30_0003_alto.xml-24-19	bib13506739_18291118_144030_268_0006_alto.xml-50-35	annotator2	3.0	 	uppfattning	2
bib11653828_18210124_144028_19_0003_alto.xml-2-55	bib11653838_19020228_147024_9_0001_alto.xml-45-41	annotator2	4.0	 	uppfattning	2
bib19227291_18960702_145289_79_0002_alto.xml-125-13	bib19225758_18950923_144022_221_0003_alto.xml-6-6	annotator2	4.0	 	uppfattning	2
bib11653828_18300503_144028_100_0002_alto.xml-17-11	bib19225758_18950923_144022_221_0003_alto.xml-6-6	annotator2	4.0	 	uppfattning	2
bib11653790_18990418_145648_29_0003_alto.xml-8-16	bib19277277_18291016_147682_240_0001_alto.xml-3-0	annotator2	4.0	 	uppfattning	2
bib15760600_18950914_146401_109_0002_alto.xml-103-22	bib19225758_18950923_144022_221_0003_alto.xml-6-6	annotator2	3.0	 	uppfattning	2
bib11653830_18980418_146968_30_0001_alto.xml-44-7	bib19225758_18950923_144022_221_0003_alto.xml-6-6	annotator2	4.0	 	uppfattning	2
bib15975090_18960213_148377_20_0002_alto.xml-62-22	bib11653838_19000803_147024_31_0003_alto.xml-88-29	annotator2	4.0	 	uppfattning	2
bib19225758_18950308_144022_57_0005_alto.xml-124-9	bib19227291_18960324_145289_36_0002_alto.xml-7-19	annotator2	4.0	 	uppfattning	2
bib11653828_18291118_144028_268_0001_alto.xml-3-43	bib19277277_18291016_147682_240_0001_alto.xml-3-0	annotator2	3.0	 	uppfattning	2
bib15760690_18950608_145050_86_0003_alto.xml-102-15	bib15650814_18950220_146365_44_0002_alto.xml-135-4	annotator2	4.0	 	uppfattning	2
bib11653828_18281231_144028_300_0003_alto.xml-0-64	bib11653811_18991030_145317_167_0003_alto.xml-37-9	annotator2	4.0	 	uppfattning	2
bib19225772_18301026_148004_122_0002_alto.xml-4-10	bib11653828_18240420_144028_90_0002_alto.xml-2-64	annotator2	2.0	 	uppfattning	2
bib15975087_18950517_145596_75_0001_alto.xml-33-33	bib13506739_18291118_144030_268_0006_alto.xml-50-35	annotator2	4.0	 	uppfattning	2
bib11653811_18980808_145317_120_0004_alto.xml-41-26	bib19225758_18950923_144022_221_0003_alto.xml-6-6	annotator2	4.0	 	uppfattning	2
bib15975087_18950724_145596_112_0002_alto.xml-111-23	bib19277277_18291016_147682_240_0001_alto.xml-3-0	annotator2	4.0	 	uppfattning	2
bib19277180_18950225_147374_17_0004_alto.xml-75-20	bib15650814_18950220_146365_44_0002_alto.xml-135-4	annotator2	4.0	 	uppfattning	2
bib11653828_18301210_144028_287_0002_alto.xml-7-20	bib11653828_18240420_144028_90_0002_alto.xml-2-64	annotator2	3.0	 	uppfattning	2
bib11653828_18240109_144028_6_0004_alto.xml-0-5	bib15869824_18950323_145700_24_0003_alto.xml-107-0	annotator2	4.0	 	uppfattning	2
bib11653828_18161129_144028_279_0004_alto.xml-2-5	bib11653828_18180410_144028_81_0003_alto.xml-5-11	annotator2	3.0	 	uppfattning	2
bib15873371_18950704_145112_178_0002_alto.xml-115-19	bib15650814_18950220_146365_44_0002_alto.xml-135-4	annotator2	4.0	 	uppfattning	2
bib11653811_19021006_145317_153_0002_alto.xml-102-35	bib13506739_18291118_144030_268_0006_alto.xml-50-35	annotator2	4.0	 	uppfattning	2
bib11653790_18991024_145648_83_0004_alto.xml-4-5	bib11653838_19020228_147024_9_0001_alto.xml-45-41	annotator2	3.0	 	uppfattning	2
bib15975087_18950724_145596_112_0002_alto.xml-111-23	bib13506739_18291118_144030_268_0006_alto.xml-50-35	annotator2	4.0	 	uppfattning	2
bib11653828_18270321_144028_67_0003_alto.xml-5-10	bib13506739_18291118_144030_268_0006_alto.xml-50-35	annotator2	4.0	 	uppfattning	2
bib19277277_18290725_147682_169_0001_alto.xml-15-22	bib19225758_18950923_144022_221_0003_alto.xml-6-6	annotator2	4.0	 	uppfattning	2
bib11653828_18301007_144028_232_0003_alto.xml-6-26	bib15869824_18950323_145700_24_0003_alto.xml-107-0	annotator2	2.0	 	uppfattning	2
bib15873371_18950327_145112_84_0002_alto.xml-10-5	bib11653811_18991030_145317_167_0003_alto.xml-37-9	annotator2	4.0	 	uppfattning	2
bib19277277_18951002_147683_268_0006_alto.xml-39-15	bib15873371_18950913_145112_249_0002_alto.xml-98-9	annotator2	4.0	 	uppfattning	2
