number_clusters_predicted_r1,abs_difference_r1,number_clusters_predicted_r2,abs_difference_r2,number_clusters_predicted_r3,abs_difference_r3,number_clusters_predicted_r4,abs_difference_r4,number_clusters_predicted_r5,abs_difference_r5
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
4,3,4,3,4,3,4,3,4,3
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
3,2,3,2,3,2,3,2,3,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
3,2,3,2,3,2,3,2,3,2
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
3,2,3,2,3,2,3,2,3,2
1,0,1,0,1,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,0,1,0,1,0,1,0,1,0
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
1,1,1,1,1,1,1,1,1,1
2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0
2,1,2,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1
3,2,3,2,3,2,3,2,3,2
2,1,2,1,2,1,2,1,2,1
2,0,2,0,2,0,2,0,2,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
